Salis,Salis,Salis
Bulgarija,4.0,1.0
Egiptas,21.0,5.0
Estija,1.0,
Graikija,8.0,3.0
Indonezija,1.0,
Ispanija,1.0,1.0
Juodkalnija,2.0,1.0
Kenija,2.0,5.0
Kipras,1.0,
Lenkija,3.0,
Madeira,1.0,
Maldyvai,2.0,
Slovakija,1.0,1.0
Tailandas,4.0,8.0
Tenerifė,1.0,
Tunisas,8.0,2.0
Turkija,29.0,5.0
Zanzibaras,2.0,
Šri Lanka,3.0,5.0
+ Ekskursijos Helsinkyje,,1.0
"Agadyras, Rabatas ir kt.",,1.0
Albanija,,2.0
Danija,,1.0
Dominikos Respublika,,1.0
Hurgada,,1.0
Italija,,2.0
Kuba,,1.0
Marokas,,1.0
Mauricijus,,1.0
Portugalija,,1.0
"Sorento, Kapri Sala ir kt.",,1.0
Tanzanija,,2.0
Venecija,,1.0
"Šiaurinė pakrantė, Malindi",,2.0
Šiaurės Mauricijus,,2.0
