Salis,Regionas,Trukme,Kaina,Data,agentura,Keliones tipas
Evija,Graikija,7,539,2024-06-107,Baltictours,poilsine
Londonas,Jungtinė Karalystė,3,450,2024-03-083,Baltictours,poilsine
Larnaka,Kipras,3,369,2024-02-233,Baltictours,poilsine
Hurgada,Egiptas,7,596,2024-02-017,Baltictours,poilsine
Alanija,Turkija,7,456,2024-04-057,Baltictours,poilsine
Pafosas,Kipras,7,506,2024-02-027,Baltictours,poilsine
Mahdija,Tunisas,7,79,2024-05-027,Baltictours,poilsine
Hurgada,Egiptas,7,583,2024-02-087,Baltictours,poilsine
Kemeras,Turkija,7,05,2024-04-107,Baltictours,poilsine
Kemeras,Turkija,7,593,2024-04-157,Baltictours,poilsine
Londonas,Jungtinė Karalystė,2,408,2024-03-302,Baltictours,poilsine
Marsa Alamas,Egiptas,7,99,2024-02-107,Baltictours,poilsine
Alanija,Turkija,7,30,2024-04-077,Baltictours,poilsine
Alanija,Turkija,7,594,2024-04-057,Baltictours,poilsine
Kreta,Graikija,7,95,2024-06-017,Baltictours,poilsine
Šarm Aš Šeichas,Egiptas,7,85,2024-02-257,Baltictours,poilsine
Marsa Alamas,Egiptas,7,59,2024-02-247,Baltictours,poilsine
Val Rendena,Italija,7,95,2024-03-097,Baltictours,poilsine
Alanija,Turkija,7,50,2024-04-057,Baltictours,poilsine
Enfida,Tunisas,7,49,2024-04-267,Baltictours,poilsine
Monastyras,Tunisas,7,55,2024-04-237,Baltictours,poilsine
Sidė,Turkija,7,75,2024-04-057,Baltictours,poilsine
Saulėtas krantas,Bulgarija,7,86,2024-06-137,Baltictours,poilsine
Alanija,Turkija,7,45,2024-04-117,Baltictours,poilsine
Aja Napa,Kipras,7,566,2024-05-017,Baltictours,poilsine
